Id,objectid,name,y,x,the_geom,id
103,104,District police station,28.9542673,82.8945919,0101000020E6100000183962FE40B95440F01F9DDC4AF43C40,104
79,80,district police training center,27.6947448,84.4393659,0101000020E6100000743527921E1C554030EC94CBDAB13B40,80
53,54,District Traffic Office,26.454406,87.2797351,0101000020E6100000704A0C2EE7D15540801F9EF353743A40,54
78,79,District Traffic Office,27.680216,84.4306388,0101000020E61000000CA40A968F1B55408082C2A222AE3B40,79
61,62,District traffic police office,27.2222967,86.7895458,0101000020E610000034FE1AEB87B25540C0EEBE6FE8383B40,62
128,130,doramba police station,27.5141111,85.9332179,0101000020E6100000F0E791D7B97B55405080FAC89C833B40,130
114,116,Drivertol police,27.6497435,83.4672907,0101000020E61000008C744017E8DD54405069099755A63B40,116
31,32,Dsp Police Station,26.4629499,87.2823761,0101000020E6100000A4DB347312D25540008C76E283763A40,32
15,16,Durbar Marg Police Station,27.7130123,85.318138,0101000020E6100000600C7C5F5C54554090E85EF987B63B40,16
173,175,Elaka Prahari Karyalaya Jamunaha Banke,28.0211252,81.6025507,0101000020E61000002CD6CF309066544040200A7668053C40,175
115,117,Fattepur Police station,27.1194952,85.0176385,0101000020E6100000DCDB3AFD2041554020A5C83C971E3B40,117
28,29,Gahana Pokhari Police Bit,27.7166129,85.3326743,0101000020E6100000281626894A555540A0F467F173B73B40,29
125,127,Gaindakot  Police Checkpost,27.7011535,84.4179539,0101000020E6100000EC4FB7C1BF1A5540B0D5B6CB7EB33B40,127
222,225,Ganjauhawa Prahari Chauki,28.5472175,80.9211965,0101000020E610000028682AE2F43A5440003F3272168C3C40,225
54,55,Gaurighat Police Beat,27.7133153,85.3496355,0101000020E61000007444936D605655402036DCD49BB63B40,55
37,38,Golfutar police Bit,27.7474597,85.3483052,0101000020E610000010E4E4A14A565540F0BDD58459BF3B40,38
213,216,Gothijula police post,29.4128152,82.003764,0101000020E6100000A4205CAB3D805440F068C541AE693D40,216
76,77,Haripur Chouki,27.7116894,84.4841015,0101000020E610000098B3DB84FB1E55403089CA4631B63B40,77
105,106,Hatkhola Chowk,26.4601652,87.292585,0101000020E610000024776FB6B9D255401076F562CD753A40,106
236,239,Hilsa Border Police Station,30.1515774,81.331598,0101000020E61000008815D1E6385554409092C8C6CD263E40,239
241,244,Hilsa Border Police Station,30.1522813,81.3345337,0101000020E61000009C16090069555440803045E8FB263E40,244
214,217,"Ilaka Police Station, Kapilakot",27.2633644,85.728724,0101000020E61000007889FC69A36E554000226DD96B433B40,217
201,204,Ilaka Prahari Karyalaya,29.047357,80.604986,0101000020E61000001CD13217B8265440B0589E961F0C3D40,204
191,193,Ilaka Prahari Karyalaya Hansapur,28.175892,84.1442673,0101000020E61000007C69E9AC3B095540F08D1442072D3C40,193
108,109,"Ilaka Prahari Karyalaya, Sisuwa",28.1725723,84.0535176,0101000020E610000010F714D56C035540704AC2B22D2C3C40,109
5,6,Imadol Police Station,27.6592311,85.3439525,0101000020E6100000BC0C595103565540A04C8E5EC3A83B40,6
157,159,jagati police checking post,27.665954,85.4389626,0101000020E6100000CCD696F6175C554020AF19F67BAA3B40,159
197,200,Jaspur Police Post,28.0612076,82.2677955,0101000020E6100000387BBC8F23915440D057214DAB0F3C40,200
195,197,Jogikuti Police station,27.6677429,83.4649752,0101000020E6100000D8845727C2DD5440A069DC32F1AA3B40,197
